MsgID.LOCAL_VELOCITY,92.0100000,-0.0104465,0.0271945,2.1653740
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924798,1.1690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,2.0700000
MsgID.LOCAL_POSITION,92.2600000,-0.0045157,0.1434641,-1.1026801
MsgID.LOCAL_VELOCITY,92.2600000,-0.0026670,0.0272835,2.0838516
MsgID.GLOBAL_POSITION,0.0000000,-122.3974481,37.7924810,0.6430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,2.0700000
MsgID.LOCAL_POSITION,92.5100000,0.1126466,0.1658597,-0.6435541
MsgID.LOCAL_VELOCITY,92.5100000,0.0042721,0.0176863,2.0718999
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924809,0.1790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,2.1400000
MsgID.LOCAL_POSITION,92.7600000,0.0866844,0.0191213,-0.1174940
MsgID.LOCAL_VELOCITY,92.7600000,-0.0025312,0.0080793,2.1000056
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924793,0.1360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.0100000,-0.0758660,0.1061061,-0.1362276
MsgID.LOCAL_VELOCITY,93.0100000,0.0000047,-0.0000064,0.0000138
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924783,0.1670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.2600000,-0.1875569,0.0667829,-0.1712177
MsgID.LOCAL_VELOCITY,93.2600000,0.0000132,0.0000008,0.0000215
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924795,0.2000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.5110000,-0.0538408,0.0609294,-0.2005090
MsgID.LOCAL_VELOCITY,93.5110000,-0.0000139,-0.0000089,0.0000154
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924807,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.7610000,0.0791910,0.0609338,-0.2243506
MsgID.LOCAL_VELOCITY,93.7610000,0.0000060,0.0000053,0.0000147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924796,0.2360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.0110000,-0.0349283,0.0609338,-0.2364375
MsgID.LOCAL_VELOCITY,94.0110000,0.0000256,-0.0000017,0.0000202
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924796,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.2610000,-0.0373557,0.0019069,-0.2425418
MsgID.LOCAL_VELOCITY,94.2610000,0.0000097,-0.0000054,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924800,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.5110000,0.0042434,-0.0877040,-0.2439938
MsgID.LOCAL_VELOCITY,94.5110000,-0.0000031,-0.0000104,0.0000160
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924795,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.7610000,-0.0594616,0.0762087,-0.2435664
MsgID.LOCAL_VELOCITY,94.7610000,0.0000014,-0.0000095,0.0000227
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924785,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.0120000,-0.1659125,0.1420197,-0.2422893
MsgID.LOCAL_VELOCITY,95.0120000,-0.0000074,-0.0000281,0.0000170
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924778,0.2400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.2630000,-0.2363133,0.1077215,-0.2397415
MsgID.LOCAL_VELOCITY,95.2630000,-0.0000107,-0.0000251,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924785,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.5130000,-0.1571437,0.0494314,-0.2356600
MsgID.LOCAL_VELOCITY,95.5130000,0.0000177,0.0000122,0.0000221
MsgID.GLOBAL_POSITION,0.0000000,-122.3974477,37.7924795,0.2280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.7630000,-0.0505104,0.2102047,-0.2269026
MsgID.LOCAL_VELOCITY,95.7630000,0.0000046,-0.0000487,0.0000195
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924795,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.0130000,-0.0469860,0.1190258,-0.2132679
MsgID.LOCAL_VELOCITY,96.0130000,-0.0000112,-0.0000185,0.0000174
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924794,0.1910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.2630000,-0.0700823,0.0609338,-0.1877128
MsgID.LOCAL_VELOCITY,96.2630000,0.0000122,-0.0000253,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924782,0.1540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.5130000,-0.1911364,0.0653733,-0.1547871
MsgID.LOCAL_VELOCITY,96.5130000,0.0000039,-0.0000384,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924780,0.1140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.7630000,-0.2095995,0.0889772,-0.1078229
MsgID.LOCAL_VELOCITY,96.7630000,-0.0000423,-0.0000302,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924791,0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,97.0130000,-0.0944427,-0.0639888,-0.0632327
MsgID.LOCAL_VELOCITY,97.0130000,0.0000023,-0.0000091,0.0000160
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924791,0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,97.2630000,-0.1049016,-0.0942348,-0.0154327
MsgID.LOCAL_VELOCITY,97.2630000,0.0000346,-0.0000278,0.0000213
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924783,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,97.5140000,-0.1848469,0.0736983,0.0187341
MsgID.LOCAL_VELOCITY,97.5140000,0.0000173,-0.0000099,0.0000140
MsgID.GLOBAL_POSITION,0.0000000,-122.3974473,37.7924786,-0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,97.7640000,-0.1287911,0.2428714,0.0456561
MsgID.LOCAL_VELOCITY,97.7640000,0.0000304,-0.0000096,0.0000068
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924802,-0.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
